user_id,business_id,stars
-F32Vl8Rk4dwsmk0f2wRIw,1mhywrdsgdqJM3OGZIpVtA,2
-F32Vl8Rk4dwsmk0f2wRIw,3oZcTGb_oDHGwZFiP-7kxQ,4
-F32Vl8Rk4dwsmk0f2wRIw,45puCRQ6Vh_IIAy7kkfFDQ,1
-F32Vl8Rk4dwsmk0f2wRIw,5-X03Zc0nN7U5eoe8uFUdw,5
-F32Vl8Rk4dwsmk0f2wRIw,9r5YLKGTdQz_Q29cBifePQ,4
-F32Vl8Rk4dwsmk0f2wRIw,cjjZt2oOkk0F152RkQMfQw,4
-F32Vl8Rk4dwsmk0f2wRIw,d52zg-S0o940WUCK-nNiKw,5
-F32Vl8Rk4dwsmk0f2wRIw,E7nk0lC317pGxMX56gvaVQ,3
-F32Vl8Rk4dwsmk0f2wRIw,EHi-lebXGWjSktl4WvSoow,5
-F32Vl8Rk4dwsmk0f2wRIw,EKzMHI1tip8rC1-ZAy64yg,5
-F32Vl8Rk4dwsmk0f2wRIw,EWMwV5V9BxNs_U6nNVMeqw,3
-F32Vl8Rk4dwsmk0f2wRIw,F0ZXhPJD8yNS3xzTxsichg,4
-F32Vl8Rk4dwsmk0f2wRIw,G9LwkTSdKOyOGqd5BbuIkA,3
-F32Vl8Rk4dwsmk0f2wRIw,iNT6pcUugoXsDlZgRTyhtw,2
-F32Vl8Rk4dwsmk0f2wRIw,iNvY0zAlaD_ye7Z6rHu-Ug,5
-F32Vl8Rk4dwsmk0f2wRIw,j8nyAaN_w5t6wYv-ni23sg,3
-F32Vl8Rk4dwsmk0f2wRIw,JhupPnWfNlMJivnWB5druA,4
-F32Vl8Rk4dwsmk0f2wRIw,jQt1xMibtitBczJN6LXT1Q,4
-F32Vl8Rk4dwsmk0f2wRIw,JZJqJadk9pSoCGT7VTwBvg,5
-F32Vl8Rk4dwsmk0f2wRIw,K8pM6qQdYu5h6buRE1-_sw,5
-F32Vl8Rk4dwsmk0f2wRIw,kFVapB4z_5VoOnYazF_ERA,4
-F32Vl8Rk4dwsmk0f2wRIw,L2J3JfjXZLnX1rLhWKthqA,5
-F32Vl8Rk4dwsmk0f2wRIw,luCSjoNQ9q_0QIjKKOy2pQ,5
-F32Vl8Rk4dwsmk0f2wRIw,muCl5p-9ut1sY0aKeUeRhw,3
-F32Vl8Rk4dwsmk0f2wRIw,mxrXVZWc6PWk81gvOVNOUw,4
-F32Vl8Rk4dwsmk0f2wRIw,nQUsMhT7qY6pPMvTT6xGcQ,1
-F32Vl8Rk4dwsmk0f2wRIw,ntN85eu27C04nwyPa8IHtw,4
-F32Vl8Rk4dwsmk0f2wRIw,oCA2OZcd_Jo_ggVmUx3WVw,2
-F32Vl8Rk4dwsmk0f2wRIw,PoRYjYUSjmeWM1WLsx_45w,4
-F32Vl8Rk4dwsmk0f2wRIw,q1nDSpmV-FdTBNj6UuZvTg,3
