user_id,business_id,stars
kGgAARL2UmvCcTRfiscjug,45puCRQ6Vh_IIAy7kkfFDQ,2
kGgAARL2UmvCcTRfiscjug,45puCRQ6Vh_IIAy7kkfFDQ,3
kGgAARL2UmvCcTRfiscjug,424HyHMwienlGfTp9Bj9BA,3
kGgAARL2UmvCcTRfiscjug,424HyHMwienlGfTp9Bj9BA,3
kGgAARL2UmvCcTRfiscjug,F6BedoYgbAQHqwKX9F0zDQ,3
kGgAARL2UmvCcTRfiscjug,uFJwKlHL6HyHSJmORO8-5w,4
kGgAARL2UmvCcTRfiscjug,uFJwKlHL6HyHSJmORO8-5w,4
kGgAARL2UmvCcTRfiscjug,4YY3AwkTbKQ2tJLzpYFD7w,4
kGgAARL2UmvCcTRfiscjug,BcBxTyj09Wu-w0KA1QvKTA,2
kGgAARL2UmvCcTRfiscjug,pvg5xoIdgXUTspWs8GoCOQ,5
kGgAARL2UmvCcTRfiscjug,wTiQXYB9fE9rcSZDsZgbtQ,4
kGgAARL2UmvCcTRfiscjug,5y6NVPJIug3LYmKp_at_yg,5
kGgAARL2UmvCcTRfiscjug,OT0gFIAr_c-d3i-IQ6TZQg,4
kGgAARL2UmvCcTRfiscjug,HLQUH1VAw4KbSV-IhxOPEw,3
kGgAARL2UmvCcTRfiscjug,yPfvOB63thP5t3pGZPJExA,4
kGgAARL2UmvCcTRfiscjug,SSpo77CXIwCjEjhxEDYslg,4
kGgAARL2UmvCcTRfiscjug,IgcTIyJFtEOxWD7bFhjYcQ,4
kGgAARL2UmvCcTRfiscjug,fVgrpVyp-nPLTac9YIjTug,5
kGgAARL2UmvCcTRfiscjug,R8VwdLyvsp9iybNqRvm94g,4
kGgAARL2UmvCcTRfiscjug,G9LwkTSdKOyOGqd5BbuIkA,4
kGgAARL2UmvCcTRfiscjug,3Zsjlum5kl5N5KV712aTMQ,4
kGgAARL2UmvCcTRfiscjug,l8v1GHaB4CsryK6MioZ21A,2
kGgAARL2UmvCcTRfiscjug,a86O40QjwMxqaQYo9ZBM3Q,4
kGgAARL2UmvCcTRfiscjug,DIYHTgM-YGKWOWLzQ4XVhA,4
kGgAARL2UmvCcTRfiscjug,mdMFNJ-i_td1QMmhdhAmgw,3
